Type,Code,Code Section,Taxicab Rule Number,Violation Description,Penalty Schedule,City Penalty,Current State Fee,Fine/Penalty,Unit,Additional Cost,Late Penalty Charge,Comments,Notes
Administrative Citation Fine,CFC,5003.2,,Design/maintenance of equipment for hazardous materials,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5003.2.2.1(4),,Provide Emergency Shut-off Valves and Signs,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5003.2.5,,Empty Containers and Tanks,,,,$125.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5003.2.6,,"Maintenance of Equipment, Machinery, and Req'd Detection and Alarm",,,,$500.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5003.2.6.2,,"Defective Cylinders, Containers and Tanks Shall Be Removed from Service",,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5003.2.9,,"Required Testing of Equipment, Devices and Systems per 5003.2.9.1",,,,$500.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5003.3,,Release of Hazardous Materials,,,,$1000.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5003.3.1.2,,Provide Approved Method to Control Unauthorized Spills,,,,$125.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5003.4,,MSDS Forms Required,,,,$125.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5003.5,,Provide Hazardous Identification Signs,,,,$125.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5003.5.1,,Provide Markings or Labels on Containers or Packages,,,,$125.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5003.9.1,,Training of Personnel/Written Procedures,,,,$500.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5003.9.3,,Provide Guard Posts to Protect Storage Area or Tanks ,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5003.9.5,,Provide Approved Means to Prevent Static Electricity Charge,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5003.9.8,,Separate Containers of Incompatible Materials,,,,$500.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5003.9.9,,Provide Shelves with Lip or Guard,,,,$125.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5004.1,,General Storage of Hazardous Materials,,,,$500.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5004.2.2,,Provide Secondary Containment for Hazardous Materials,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5004.2.2.5,,Approved monitoring method,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5004.11,,Keep Storage Area or Tanks Clear of Combustible Material,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5005.2.1.4,,Secondary Containment for Liquid Used in Open Systems Inside a Building,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5005.3.5,,Secondary Containment for Liquid Used in Open Systems Outside a Building,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5303.4.3,,Provide Labels on Gas Piping,,,,$125.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5303.5.3,,Secure Compressed Gas Cylinders,,,,$125.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5703.3,,Site Assessment,,,,$500.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5704.2.7.10,,Leak Reporting,,,,$1000.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5704.2.11.1,,Compatibility,,,,$500.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5704.2.11.4,,Overfill prevention system,,,,$125.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5704.2.11.5.2,,Approved method of leak detection,,,,$500.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5704.2.13.1.2,,Conditions for tanks out of service for 90 days,,,,$500.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5704.2.13.1.3,,Conditions for tanks out of service for 1 year,,,,$1000.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5704.3.1.1,,Store Flammable/Combustible Liquids in Approved Container,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5704.3.2,,Store Flammable/Combustible Liquid in Approved Cabinet(s),,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5704.3.3.3,,Remove Flammable Liquids Near Exits,,,,$1000.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5705.2.4(4),,Discontinue Gravity Dispensing,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5705.3.6,,Discontinue Cleaning Inside Building with Flammable Liquids,,,,$500.00,,,,California Fire Code (CFC),
Administrative Citation Fine,CFC,5705.3.7.5.3,,Provide Secondary Containment—Flammable and Combustible Liquids,,,,$250.00,,,,California Fire Code (CFC),
Administrative Citation Taxicab Fine,,,201a.,,Schedule D,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,201b.,,Schedule C,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,202,,Schedule D,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,203,,Schedule D,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,204,,Schedule D - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,205,,Schedule B - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,206,,Schedule B - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,207,,Schedule D - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,208,,Schedule B - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,209,,Schedule A - Conduct or B - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,210,,Schedule A - Conduct or Schedule B - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,211,,Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,212,,Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,213,,Schedule B - Public Safety,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,214,,Schedule A - Conduct or B - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,215,,Schedule B - Public Safety,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,216,,Schedule D,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,217,,Schedule D,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,218,,Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,219,,Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,220,,Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,221,,Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,222,,Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,223,,Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,224,,Schedule D,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,225,,Schedule B - Public Safety,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,226,,Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,227,,Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,228,,Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,229,,Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,230,,Schedule A or Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,231,,Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,232,,Schedule B - Public Safety,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,233,,Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,234,,Schedule B - Public Safety,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,235,,Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,236,,Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,237,,Schedule B - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,238,,Schedule B - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,239,,Schedule B - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,240,,Schedule A - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,241,,Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,242,,Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,243,,Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,244,,Schedule C - Conduct or Schedule D - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,301,,none ,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,302,,none,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,303,,none,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,304,,none,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,305,,none,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,306,,none,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,307,,none,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,401,,Schedule A - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,402,,Schedule C - Public Safety,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,403a,,Schedule C - Public Safety,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,403b,,Schedule C - Public Safety,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,404,,Schedule C - Public Safety,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,405,,Schedule A - Public Safety,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,406,,Schedule A - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,407,,Schedule C - Public Safety,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,408,,Schedule C - Public Safety,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,409,,Schedule C - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,410,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,411,,"Schedule A - Conduct for 1st Violation, Schedule C - Conduct for 2nd Violation",,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,412,,Schedule C - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,413,,Schedule C - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,414,,"Schedule A - Conduct for 1st Violation, Schedule C -  Conduct for 2nd Violation",,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,415,,Schedule A - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,416,,Schedule C,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,417,,Schedule C,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,418,,Schedule C,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,419a,,Schedule A - Public Safety,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,419b,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,419c,,Schedule A - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,419d,,Schedule C - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,419e,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,420a,,Schedule C - Public Safety,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,420b,,Schedule C,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,420c,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,421,,Schedule A - Public Safety,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,422a,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,422b,,Schedule C,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,422c,,Schedule C,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,422d,,Schedule A - Public Safety,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,423a,,Schedule A - Public Safety,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,423b,,Schedule A - Public Safety,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,423c,,Schedule A - Public Safety,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,424,,Schedule C,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,425,,Schedule A - Public Safety,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,426,,Schedule A - Public Safety,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,427,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,428,,Schedule A - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,429,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,430a,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,430b,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,430c,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,430d,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,430e,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,430f,,Schedule A - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,430g,,Schedule A - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,430h,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,430i,,Schedule A - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,430j,,Schedule A - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,430k,,Schedule A - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,430l,,Schedule A - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,430m,,Schedule A - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,430n,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,430o,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,431,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,432,,Schedule A - Conduct or Schedule C - Conduct at the Discretion of the City,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,433,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,434a,,Schedule A - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,434b,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,435,,Schedule C,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,436,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,437,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,438,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,439a,,Schedule C,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,439b,,Schedule C - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,439c,,Schedule C,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,440,,Schedule A - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,441,,Schedule C - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,442,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,443,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,444,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,445,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,446,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,447,,Schedule A - Public Safety,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,448,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,449,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,450,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,451,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,452,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,453,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,454,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,455,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,456a,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,456b,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,456c,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,456d,,Schedule C,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,457,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,458,,Schedule A,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,501,,Schedule D,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,502,,Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,503,,Schedule A - Conduct or Schedule B - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,504,,Schedule B - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,505,,Schedule B - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,506,,Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,507,,Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,508,,Schedule B - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,509,,none,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
